keyword	category	parent
5005 at6 adam west	travel	travel
aardappelhandel nick	supermarket	groceries
abn amro	mortgage	fixed_costs
abn amro bank n v basispakket 3 70	other	other
abn amro bank n v basispakket 3 70betaalpas 1 50	other	other
abn amro bank n v basispakket 4 30betaalpas 1 50	other	other
abn amro bank nv	mortgage	fixed_costs
ah weespersluis	supermarket	groceries
ah weespersluis nr ct898636	supermarket	groceries
albert heijn	supermarket	groceries
albert heijn 1083	supermarket	groceries
albert heijn 1844	supermarket	groceries
albert heijn 1844 nr b6z6jk	supermarket	groceries
albert heijn 1844 nr b83dtl	supermarket	groceries
albert heijn 1844 nr b91z56	supermarket	groceries
albert heijn 1844 nr bkv265	supermarket	groceries
albert heijn 1844 nr bs158830	supermarket	groceries
albert heijn 1844 nr bs158832	supermarket	groceries
albert heijn 1844 nr bs158833	supermarket	groceries
albert heijn 1844 nr bs158834	supermarket	groceries
albert heijn 1844 nr bs158835	supermarket	groceries
albert heijn 1844 nr bs158836	supermarket	groceries
albert heijn 1844 nr bs158837	supermarket	groceries
albert heijn 1844 nr bs158838	supermarket	groceries
albert heijn 1844 nr bs158840	supermarket	groceries
albert heijn 1844 nr f13hh8	supermarket	groceries
albert heijn 1844 nr pdh1w9	supermarket	groceries
amazon eu sarl	home	home_and_energy
amazon payments europe sca	home	home_and_energy
amsterdam cs 4208 1130	travel	travel
anna lisa noack	deposit	other
anwb verzekeren	insurance	insurance
arigato massage company via stichting mollie payments	massage	health_and_beauty
arigato via stichting mollie payments	massage	health_and_beauty
b prepared via rabo zakelijk betaalverzoek	child	family
bakkerij cor muhl	bakery	groceries
bakkerij cor muhl nr 2bz201	bakery	groceries
bakkerij cor muhl nr 3z27tx	bakery	groceries
basta stellendam	holiday	travel
bbyzorg b v	health	health_and_beauty
bck 8304 had kiosk	travel	travel
bck ah to go 5873 utre nr bs169645	travel	travel
bck apotheek ballintij	health	health_and_beauty
bck apotheek veldsema	travel	travel
bck apotheek veldsema nr al044952	kruidvat	shopping
bck broodbakker meijss	restaurants	food_and_drink
bck etos kortenhoef nr bs172949	home	home_and_energy
bck huiskamer kl 4804	travel	travel
bck kiosk asdm 0193	travel	travel
bck ns weesp 201	travel	travel
bck nsautomaat wp 4801	travel	travel
bck spar ouddorpduin	holiday	travel
bck wp 4801 sp 56	travel	travel
bea betaalpas ah 8772 pas273 nr 6x56y1 16 07 25 16 22 ouddorp zh	holiday	travel
bea betaalpas albert heijn 1844 pas273 nr b76tps 07 07 25 11 53 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b83dtl 05 05 25 08 44 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b83dtl 06 08 25 10 42 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b8m1f5 04 08 25 14 19 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b8m1f5 08 08 25 11 41 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b8m1f5 21 05 25 11 44 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b91z56 02 06 25 14 44 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b91z56 08 07 25 11 45 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b91z56 19 05 25 09 39 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b91z56 21 08 25 11 00 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b91z56 21 08 25 11 01 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr b91z56 24 07 25 09 12 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bkv265 04 09 25 11 45 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bkv265 05 05 25 12 01 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bs158830 18 02 26 11 20 weesp terugboeking bea transactie	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bs82cc 08 05 25 15 58 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bvn13s 11 07 25 10 59 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bvn13s 28 05 25 09 20 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bvn13s 31 07 25 10 41 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr bvr119 07 05 25 15 24 weesp	supermarket	groceries
bea betaalpas albert heijn 1844 pas273 nr pdh1w9 31 07 25 10 44 weesp	supermarket	groceries
bea betaalpas albert heijn online pas273 nr ct950697 30 07 25 09 27 zaandam	supermarket	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 03 05 25 09 40 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 05 06 25 10 21 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 09 05 25 12 26 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 09 08 25 10 58 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 13 05 25 08 36 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 19 08 25 11 37 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 20 05 25 09 12 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 20 05 25 09 14 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 2bz201 31 08 25 10 28 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 01 05 25 08 55 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 03 06 25 09 03 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 05 08 25 08 51 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 07 05 25 15 14 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 08 08 25 11 49 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 10 07 25 10 16 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 12 07 25 10 15 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 22 05 25 08 56 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 22 07 25 10 04 weesp	bakery	groceries
bea betaalpas bakkerij cor muhl pas273 nr 3z27tx 24 06 25 11 48 weesp	bakery	groceries
